order_id,order_date,region,country,customer_segment,sales_channel,category,subcategory,unit_price,quantity,discount_pct,gross_revenue,revenue,cost,profit,profit_margin_pct,customer_rating,delivery_days
ORD-20250063,2025-09-20,Norteamérica,México,Consumidor Final (B2C),Tienda Online,Mobiliario y Oficina,Sillas Ergonómicas,409.23,2,0.1,818.46,736.61,509.88,226.73,30.78,5,5
ORD-20251396,2025-09-20,Norteamérica,México,Consumidor Final (B2C),Marketplace,Tecnología,Accesorios,481.34,1,0.0,481.34,481.34,305.36,175.98,36.56,4,1
ORD-20251330,2025-09-21,Norteamérica,Canadá,Empresas (B2B),Venta Directa,Tecnología,Monitores 4K,1333.95,9,0.05,12005.55,11405.27,7389.09,4016.18,35.21,4,1
ORD-20250926,2025-09-22,Asia-Pacífico,Japón,Empresas (B2B),Tienda Online,Mobiliario y Oficina,Lámparas LED,51.52,5,0.15,257.6,218.96,174.26,44.7,20.41,4,3
ORD-20250581,2025-09-23,Asia-Pacífico,Singapur,Corporativo,Tienda Online,Tecnología,Smartphones 5G,1266.44,23,0.25,29128.12,21846.09,21675.78,170.31,0.78,3,5
ORD-20250533,2025-09-23,Latinoamérica,Brasil,Corporativo,Tienda Online,Hogar y Electro,Domótica,469.82,8,0.1,3758.56,3382.7,2214.49,1168.21,34.53,5,5
ORD-20250577,2025-09-24,Latinoamérica,Chile,Corporativo,Venta Directa,Mobiliario y Oficina,Lámparas LED,298.56,13,0.25,3881.28,2910.96,2387.94,523.02,17.97,5,5
ORD-20251027,2025-09-25,Europa,España,Consumidor Final (B2C),Tienda Online,Moda y Calzado,Calzado Deportivo,174.28,1,0.1,174.28,156.85,73.38,83.47,53.22,4,2
ORD-20250839,2025-09-26,Norteamérica,Estados Unidos,Empresas (B2B),Tienda Online,Moda y Calzado,Calzado Deportivo,25.23,8,0.1,201.84,181.66,78.27,103.39,56.91,4,1
ORD-20251121,2025-09-28,Norteamérica,México,Consumidor Final (B2C),Venta Directa,Mobiliario y Oficina,Sillas Ergonómicas,411.08,3,0.1,1233.24,1109.92,633.36,476.56,42.94,5,2
ORD-20250990,2025-09-29,Europa,España,Consumidor Final (B2C),Tienda Online,Mobiliario y Oficina,Escritorios Regulables,298.12,3,0.05,894.36,849.64,481.1,368.54,43.38,5,3
ORD-20250690,2025-10-01,Europa,Alemania,Consumidor Final (B2C),Marketplace,Tecnología,Auriculares Inalámbricos,1174.19,1,0.0,1174.19,1174.19,723.56,450.63,38.38,4,4
ORD-20251093,2025-10-01,Asia-Pacífico,Japón,Empresas (B2B),Marketplace,Moda y Calzado,Calzado Deportivo,92.21,9,0.05,829.89,788.4,351.82,436.58,55.38,4,3
ORD-20251488,2025-10-01,Norteamérica,Estados Unidos,Consumidor Final (B2C),Tienda Online,Hogar y Electro,Cafeteras Express,208.76,1,0.05,208.76,198.32,131.55,66.77,33.67,5,4
ORD-20250130,2025-10-02,Europa,Francia,Consumidor Final (B2C),Venta Directa,Tecnología,Smartphones 5G,871.17,3,0.1,2613.51,2352.16,1577.1,775.06,32.95,4,3
ORD-20251193,2025-10-02,Europa,Francia,Consumidor Final (B2C),Tienda Online,Tecnología,Accesorios,813.48,1,0.1,813.48,732.13,513.23,218.9,29.9,5,5
ORD-20251394,2025-10-02,Norteamérica,Canadá,Consumidor Final (B2C),Venta Directa,Hogar y Electro,Aspiradoras Robot,161.6,1,0.0,161.6,161.6,104.74,56.86,35.19,5,5
ORD-20250474,2025-10-02,Norteamérica,Canadá,Consumidor Final (B2C),Tienda Online,Moda y Calzado,Accesorios y Bolsos,205.03,1,0.0,205.03,205.03,73.53,131.5,64.14,4,5
ORD-20250322,2025-10-03,Latinoamérica,Brasil,Consumidor Final (B2C),Venta Directa,Hogar y Electro,Purificadores de Aire,166.76,1,0.05,166.76,158.42,104.29,54.13,34.17,3,3
ORD-20251107,2025-10-03,Europa,Reino Unido,Consumidor Final (B2C),Tienda Online,Mobiliario y Oficina,Escritorios Regulables,201.93,1,0.1,201.93,181.74,109.77,71.97,39.6,4,4
ORD-20250700,2025-10-03,Latinoamérica,Brasil,Empresas (B2B),Tienda Online,Tecnología,Monitores 4K,189.46,2,0.1,378.92,341.03,254.18,86.85,25.47,5,3
ORD-20250778,2025-10-04,Europa,Reino Unido,Consumidor Final (B2C),Tienda Online,Tecnología,Accesorios,1219.23,3,0.0,3657.69,3657.69,2722.13,935.56,25.58,4,1
ORD-20250757,2025-10-04,Europa,Francia,Consumidor Final (B2C),Tienda Online,Moda y Calzado,Ropa Casual,42.54,3,0.1,127.62,114.86,48.21,66.65,58.03,4,3
ORD-20250739,2025-10-04,Latinoamérica,Chile,Consumidor Final (B2C),Venta Directa,Moda y Calzado,Accesorios y Bolsos,156.77,2,0.0,313.54,313.54,125.65,187.89,59.93,5,4
ORD-20250307,2025-10-06,Europa,Reino Unido,Consumidor Final (B2C),Tienda Online,Moda y Calzado,Abrigos Técnicos,197.83,3,0.0,593.49,593.49,225.75,367.74,61.96,4,1
ORD-20250043,2025-10-07,Latinoamérica,Argentina,Consumidor Final (B2C),Tienda Online,Tecnología,Monitores 4K,670.58,3,0.1,2011.74,1810.57,1280.21,530.36,29.29,4,5
ORD-20251192,2025-10-09,Latinoamérica,Colombia,Consumidor Final (B2C),Distribuidores,Mobiliario y Oficina,Organizadores,136.31,2,0.1,272.62,245.36,141.94,103.42,42.15,5,4
ORD-20250283,2025-10-09,Norteamérica,México,Empresas (B2B),Venta Directa,Tecnología,Smartphones 5G,1043.89,9,0.15,9395.01,7985.76,6540.29,1445.47,18.1,5,1
ORD-20250881,2025-10-10,Asia-Pacífico,Singapur,Consumidor Final (B2C),Tienda Online,Moda y Calzado,Calzado Deportivo,93.38,2,0.05,186.76,177.42,67.69,109.73,61.85,4,4
ORD-20251295,2025-10-10,Norteamérica,Estados Unidos,Empresas (B2B),Tienda Online,Hogar y Electro,Purificadores de Aire,209.89,2,0.05,419.78,398.79,251.21,147.58,37.01,3,5
ORD-20250974,2025-10-10,Europa,España,Empresas (B2B),Distribuidores,Tecnología,Smartphones 5G,309.54,4,0.05,1238.16,1176.25,922.74,253.51,21.55,5,4
ORD-20250319,2025-10-12,Asia-Pacífico,Singapur,Consumidor Final (B2C),Venta Directa,Hogar y Electro,Aspiradoras Robot,70.73,3,0.05,212.19,201.58,148.12,53.46,26.52,5,2
ORD-20250967,2025-10-12,Norteamérica,Estados Unidos,Corporativo,Distribuidores,Tecnología,Smartphones 5G,1392.41,23,0.15,32025.43,27221.62,19906.25,7315.37,26.87,5,1
ORD-20250923,2025-10-13,Latinoamérica,Colombia,Consumidor Final (B2C),Tienda Online,Tecnología,Laptops & Ultrabooks,910.1,2,0.1,1820.2,1638.18,1331.43,306.75,18.73,5,2
ORD-20251263,2025-10-13,Norteamérica,México,Consumidor Final (B2C),Venta Directa,Moda y Calzado,Ropa Casual,89.77,2,0.05,179.54,170.56,75.41,95.15,55.79,5,1
ORD-20251078,2025-10-14,Latinoamérica,Chile,Consumidor Final (B2C),Tienda Online,Mobiliario y Oficina,Sillas Ergonómicas,203.16,3,0.1,609.48,548.53,341.81,206.72,37.69,5,1
ORD-20250579,2025-10-14,Norteamérica,Estados Unidos,Consumidor Final (B2C),Tienda Online,Moda y Calzado,Accesorios y Bolsos,81.39,3,0.1,244.17,219.75,131.71,88.04,40.06,5,3
ORD-20250631,2025-10-14,Latinoamérica,Colombia,Empresas (B2B),Venta Directa,Moda y Calzado,Calzado Deportivo,50.16,8,0.15,401.28,341.09,195.58,145.51,42.66,4,4
ORD-20250462,2025-10-15,Latinoamérica,Argentina,Consumidor Final (B2C),Marketplace,Tecnología,Auriculares Inalámbricos,171.99,3,0.1,515.97,464.37,359.77,104.6,22.53,4,4
ORD-20250455,2025-10-15,Latinoamérica,Colombia,Consumidor Final (B2C),Tienda Online,Mobiliario y Oficina,Organizadores,169.75,1,0.05,169.75,161.26,86.47,74.79,46.38,3,4
ORD-20250282,2025-10-16,Europa,Alemania,Consumidor Final (B2C),Venta Directa,Tecnología,Auriculares Inalámbricos,852.94,1,0.1,852.94,767.65,618.26,149.39,19.46,5,3
ORD-20250300,2025-10-17,Europa,España,Corporativo,Tienda Online,Hogar y Electro,Cafeteras Express,245.49,15,0.2,3682.35,2945.88,2256.39,689.49,23.41,4,3
ORD-20251189,2025-10-17,Latinoamérica,Colombia,Empresas (B2B),Tienda Online,Tecnología,Laptops & Ultrabooks,779.29,4,0.05,3117.16,2961.3,2034.14,927.16,31.31,5,3
ORD-20250715,2025-10-18,Latinoamérica,Chile,Empresas (B2B),Distribuidores,Mobiliario y Oficina,Escritorios Regulables,250.11,9,0.05,2250.99,2138.44,1296.76,841.68,39.36,5,2
ORD-20251260,2025-10-18,Europa,Reino Unido,Empresas (B2B),Tienda Online,Mobiliario y Oficina,Organizadores,314.34,9,0.05,2829.06,2687.61,1784.83,902.78,33.59,3,2
ORD-20250427,2025-10-18,Europa,España,Consumidor Final (B2C),Distribuidores,Moda y Calzado,Abrigos Técnicos,108.22,1,0.1,108.22,97.4,51.59,45.81,47.03,4,4
ORD-20250286,2025-10-18,Europa,España,Corporativo,Venta Directa,Moda y Calzado,Ropa Casual,211.14,13,0.15,2744.82,2333.1,1222.77,1110.33,47.59,5,5
ORD-20250152,2025-10-19,Asia-Pacífico,Australia,Empresas (B2B),Venta Directa,Mobiliario y Oficina,Organizadores,405.93,6,0.1,2435.58,2192.02,1483.94,708.08,32.3,5,4
ORD-20250604,2025-10-19,Norteamérica,Estados Unidos,Consumidor Final (B2C),Marketplace,Mobiliario y Oficina,Organizadores,84.25,2,0.0,168.5,168.5,85.5,83.0,49.26,4,1
ORD-20250847,2025-10-19,Norteamérica,Canadá,Consumidor Final (B2C),Tienda Online,Moda y Calzado,Abrigos Técnicos,57.3,2,0.0,114.6,114.6,56.0,58.6,51.13,5,4
ORD-20251010,2025-10-20,Europa,Francia,Consumidor Final (B2C),Tienda Online,Mobiliario y Oficina,Lámparas LED,140.43,2,0.05,280.86,266.82,163.04,103.78,38.9,5,2
ORD-20250965,2025-10-20,Europa,Reino Unido,Consumidor Final (B2C),Tienda Online,Moda y Calzado,Calzado Deportivo,186.41,3,0.05,559.23,531.27,258.03,273.24,51.43,4,5
ORD-20250713,2025-10-20,Europa,Reino Unido,Empresas (B2B),Tienda Online,Tecnología,Smartphones 5G,566.17,9,0.05,5095.53,4840.75,3396.64,1444.11,29.83,5,1
ORD-20250644,2025-10-20,Latinoamérica,Chile,Consumidor Final (B2C),Tienda Online,Mobiliario y Oficina,Sillas Ergonómicas,102.56,1,0.0,102.56,102.56,55.83,46.73,45.56,5,3
ORD-20250233,2025-10-20,Norteamérica,Canadá,Consumidor Final (B2C),Venta Directa,Mobiliario y Oficina,Lámparas LED,383.32,2,0.05,766.64,728.31,385.96,342.35,47.01,5,3
ORD-20250076,2025-10-21,Asia-Pacífico,Japón,Consumidor Final (B2C),Marketplace,Tecnología,Smartphones 5G,1050.48,2,0.1,2100.96,1890.86,1262.18,628.68,33.25,5,2
ORD-20250023,2025-10-21,Latinoamérica,Argentina,Consumidor Final (B2C),Tienda Online,Mobiliario y Oficina,Escritorios Regulables,350.72,1,0.0,350.72,350.72,182.69,168.03,47.91,3,1
ORD-20250134,2025-10-22,Norteamérica,Canadá,Empresas (B2B),Tienda Online,Moda y Calzado,Ropa Casual,171.52,9,0.05,1543.68,1466.5,835.63,630.87,43.02,3,4
ORD-20250869,2025-10-23,Norteamérica,Estados Unidos,Empresas (B2B),Tienda Online,Tecnología,Laptops & Ultrabooks,1376.59,7,0.1,9636.13,8672.52,5871.94,2800.58,32.29,3,3
ORD-20250216,2025-10-23,Norteamérica,Estados Unidos,Empresas (B2B),Distribuidores,Mobiliario y Oficina,Sillas Ergonómicas,251.12,7,0.1,1757.84,1582.06,905.36,676.7,42.77,3,3
ORD-20250786,2025-10-23,Europa,España,Consumidor Final (B2C),Tienda Online,Tecnología,Smartphones 5G,1221.35,3,0.05,3664.05,3480.85,2208.75,1272.1,36.55,5,5
ORD-20250858,2025-10-23,Latinoamérica,Argentina,Consumidor Final (B2C),Tienda Online,Moda y Calzado,Calzado Deportivo,118.86,2,0.0,237.72,237.72,96.86,140.86,59.25,5,4
ORD-20250520,2025-10-24,Europa,Reino Unido,Consumidor Final (B2C),Distribuidores,Tecnología,Laptops & Ultrabooks,408.61,1,0.05,408.61,388.18,259.25,128.93,33.21,5,5
ORD-20251482,2025-10-24,Norteamérica,México,Consumidor Final (B2C),Tienda Online,Mobiliario y Oficina,Sillas Ergonómicas,103.52,1,0.1,103.52,93.17,57.49,35.68,38.3,5,1
ORD-20251446,2025-10-24,Norteamérica,Canadá,Consumidor Final (B2C),Marketplace,Hogar y Electro,Cafeteras Express,378.51,3,0.0,1135.53,1135.53,709.22,426.31,37.54,4,5
ORD-20250852,2025-10-25,Norteamérica,Canadá,Consumidor Final (B2C),Tienda Online,Moda y Calzado,Accesorios y Bolsos,170.03,3,0.05,510.09,484.59,263.95,220.64,45.53,5,5
ORD-20250904,2025-10-25,Europa,Francia,Empresas (B2B),Distribuidores,Hogar y Electro,Domótica,560.03,4,0.1,2240.12,2016.11,1314.44,701.67,34.8,5,3
ORD-20250951,2025-10-26,Latinoamérica,Chile,Consumidor Final (B2C),Tienda Online,Tecnología,Auriculares Inalámbricos,431.73,3,0.0,1295.19,1295.19,913.47,381.72,29.47,3,2
ORD-20250674,2025-10-27,Asia-Pacífico,Singapur,Corporativo,Tienda Online,Hogar y Electro,Domótica,338.71,6,0.15,2032.26,1727.42,1254.2,473.22,27.39,5,2
ORD-20250802,2025-10-27,Europa,Reino Unido,Consumidor Final (B2C),Venta Directa,Hogar y Electro,Cafeteras Express,294.1,1,0.0,294.1,294.1,191.72,102.38,34.81,5,1
ORD-20250359,2025-10-27,Latinoamérica,Chile,Consumidor Final (B2C),Distribuidores,Mobiliario y Oficina,Sillas Ergonómicas,109.89,1,0.0,109.89,109.89,61.81,48.08,43.75,4,4
ORD-20251280,2025-10-27,Norteamérica,México,Consumidor Final (B2C),Venta Directa,Mobiliario y Oficina,Organizadores,150.02,1,0.05,150.02,142.52,89.95,52.57,36.89,5,3
ORD-20250553,2025-10-27,Latinoamérica,Perú,Empresas (B2B),Tienda Online,Mobiliario y Oficina,Lámparas LED,200.21,8,0.1,1601.68,1441.51,803.92,637.59,44.23,5,1
ORD-20250920,2025-10-27,Asia-Pacífico,Corea del Sur,Corporativo,Tienda Online,Moda y Calzado,Ropa Casual,88.52,6,0.25,531.12,398.34,257.74,140.6,35.3,5,3
ORD-20251225,2025-10-28,Latinoamérica,Argentina,Empresas (B2B),Venta Directa,Moda y Calzado,Accesorios y Bolsos,183.31,5,0.15,916.55,779.07,385.43,393.64,50.53,4,1
ORD-20250062,2025-10-28,Latinoamérica,Colombia,Consumidor Final (B2C),Tienda Online,Moda y Calzado,Ropa Casual,209.95,2,0.0,419.9,419.9,219.9,200.0,47.63,5,1
ORD-20250724,2025-10-28,Norteamérica,Estados Unidos,Empresas (B2B),Venta Directa,Mobiliario y Oficina,Sillas Ergonómicas,120.43,3,0.1,361.29,325.16,197.06,128.1,39.4,3,5
ORD-20251144,2025-10-28,Norteamérica,Estados Unidos,Corporativo,Tienda Online,Moda y Calzado,Abrigos Técnicos,158.19,23,0.1,3638.37,3274.53,1660.42,1614.11,49.29,5,2
ORD-20250528,2025-10-28,Europa,Alemania,Consumidor Final (B2C),Tienda Online,Hogar y Electro,Domótica,132.77,1,0.1,132.77,119.49,88.99,30.5,25.53,4,3
ORD-20251416,2025-10-28,Latinoamérica,Chile,Corporativo,Venta Directa,Hogar y Electro,Purificadores de Aire,291.29,17,0.15,4951.93,4209.14,3363.86,845.28,20.08,5,5
ORD-20250680,2025-10-29,Europa,Alemania,Consumidor Final (B2C),Marketplace,Moda y Calzado,Accesorios y Bolsos,194.22,1,0.0,194.22,194.22,70.74,123.48,63.58,5,2
ORD-20250495,2025-10-29,Asia-Pacífico,Australia,Empresas (B2B),Tienda Online,Hogar y Electro,Cafeteras Express,394.29,5,0.15,1971.45,1675.73,1223.0,452.73,27.02,5,3
ORD-20251415,2025-10-30,Europa,Alemania,Consumidor Final (B2C),Distribuidores,Mobiliario y Oficina,Escritorios Regulables,358.01,2,0.05,716.02,680.22,373.98,306.24,45.02,4,4
ORD-20250108,2025-10-30,Norteamérica,Estados Unidos,Consumidor Final (B2C),Venta Directa,Tecnología,Accesorios,977.77,1,0.05,977.77,928.88,635.5,293.38,31.58,5,4
ORD-20250939,2025-10-30,Norteamérica,México,Consumidor Final (B2C),Tienda Online,Mobiliario y Oficina,Organizadores,118.22,1,0.0,118.22,118.22,75.46,42.76,36.17,4,3
ORD-20251335,2025-10-30,Europa,Francia,Consumidor Final (B2C),Distribuidores,Tecnología,Accesorios,258.61,2,0.0,517.22,517.22,372.32,144.9,28.02,5,1
ORD-20250874,2025-10-31,Latinoamérica,Perú,Corporativo,Tienda Online,Mobiliario y Oficina,Escritorios Regulables,449.53,23,0.25,10339.19,7754.39,6481.68,1272.71,16.41,4,3
ORD-20251013,2025-10-31,Europa,Alemania,Consumidor Final (B2C),Tienda Online,Tecnología,Auriculares Inalámbricos,925.26,3,0.1,2775.78,2498.2,2022.72,475.48,19.03,4,1
ORD-20250996,2025-10-31,Norteamérica,Estados Unidos,Consumidor Final (B2C),Venta Directa,Tecnología,Auriculares Inalámbricos,695.96,2,0.1,1391.92,1252.73,853.01,399.72,31.91,5,4
ORD-20250813,2025-10-31,Norteamérica,México,Consumidor Final (B2C),Tienda Online,Tecnología,Laptops & Ultrabooks,1141.98,2,0.1,2283.96,2055.56,1404.94,650.62,31.65,5,4
ORD-20251239,2025-10-31,Europa,Francia,Consumidor Final (B2C),Distribuidores,Hogar y Electro,Cafeteras Express,516.37,2,0.1,1032.74,929.47,716.02,213.45,22.96,4,3
ORD-20250066,2025-11-01,Latinoamérica,Colombia,Consumidor Final (B2C),Venta Directa,Hogar y Electro,Aspiradoras Robot,139.11,3,0.0,417.33,417.33,260.6,156.73,37.56,5,2
ORD-20250523,2025-11-01,Norteamérica,Estados Unidos,Consumidor Final (B2C),Tienda Online,Mobiliario y Oficina,Lámparas LED,280.52,2,0.0,561.04,561.04,346.49,214.55,38.24,3,2
ORD-20250141,2025-11-01,Europa,Francia,Consumidor Final (B2C),Distribuidores,Tecnología,Auriculares Inalámbricos,444.9,3,0.0,1334.7,1334.7,880.1,454.6,34.06,5,2
ORD-20250046,2025-11-01,Norteamérica,México,Empresas (B2B),Distribuidores,Hogar y Electro,Aspiradoras Robot,344.27,3,0.15,1032.81,877.89,697.96,179.93,20.5,4,2
ORD-20251116,2025-11-01,Asia-Pacífico,Australia,Empresas (B2B),Venta Directa,Moda y Calzado,Ropa Casual,145.58,3,0.1,436.74,393.07,222.03,171.04,43.51,5,4
ORD-20250830,2025-11-01,Latinoamérica,Brasil,Corporativo,Tienda Online,Tecnología,Laptops & Ultrabooks,981.22,15,0.1,14718.3,13246.47,10295.73,2950.74,22.28,5,5
ORD-20250586,2025-11-02,Norteamérica,Canadá,Consumidor Final (B2C),Venta Directa,Tecnología,Accesorios,589.33,3,0.05,1767.99,1679.59,1164.51,515.08,30.67,3,5
ORD-20250366,2025-11-02,Europa,Francia,Consumidor Final (B2C),Tienda Online,Hogar y Electro,Purificadores de Aire,435.86,1,0.0,435.86,435.86,266.47,169.39,38.86,4,3
ORD-20250197,2025-11-03,Norteamérica,Canadá,Consumidor Final (B2C),Tienda Online,Tecnología,Laptops & Ultrabooks,1332.96,3,0.0,3998.88,3998.88,2477.27,1521.61,38.05,5,1
ORD-20250470,2025-11-03,Norteamérica,Canadá,Empresas (B2B),Tienda Online,Tecnología,Laptops & Ultrabooks,1183.68,3,0.1,3551.04,3195.94,2369.59,826.35,25.86,5,4
ORD-20251002,2025-11-04,Norteamérica,Canadá,Consumidor Final (B2C),Tienda Online,Tecnología,Laptops & Ultrabooks,622.95,1,0.0,622.95,622.95,456.78,166.17,26.67,5,2
ORD-20251163,2025-11-04,Latinoamérica,Perú,Consumidor Final (B2C),Tienda Online,Tecnología,Smartphones 5G,522.88,3,0.05,1568.64,1490.21,953.64,536.57,36.01,5,2
ORD-20250267,2025-11-04,Europa,Alemania,Consumidor Final (B2C),Tienda Online,Tecnología,Auriculares Inalámbricos,499.17,1,0.0,499.17,499.17,306.23,192.94,38.65,4,5
ORD-20250384,2025-11-05,Europa,Francia,Empresas (B2B),Distribuidores,Tecnología,Accesorios,1388.94,6,0.1,8333.64,7500.28,5864.94,1635.34,21.8,5,3
ORD-20250905,2025-11-06,Asia-Pacífico,Singapur,Empresas (B2B),Distribuidores,Mobiliario y Oficina,Escritorios Regulables,59.0,8,0.15,472.0,401.2,275.68,125.52,31.29,5,2
ORD-20250446,2025-11-06,Latinoamérica,Colombia,Empresas (B2B),Distribuidores,Moda y Calzado,Ropa Casual,33.12,5,0.15,165.6,140.76,76.88,63.88,45.38,5,5
ORD-20250961,2025-11-06,Europa,Francia,Corporativo,Distribuidores,Mobiliario y Oficina,Sillas Ergonómicas,430.34,15,0.1,6455.1,5809.59,3993.95,1815.64,31.25,5,1
ORD-20250940,2025-11-06,Norteamérica,Canadá,Consumidor Final (B2C),Marketplace,Mobiliario y Oficina,Escritorios Regulables,85.27,1,0.1,85.27,76.74,52.96,23.78,30.99,5,1
ORD-20250695,2025-11-07,Norteamérica,Canadá,Empresas (B2B),Distribuidores,Mobiliario y Oficina,Sillas Ergonómicas,104.25,8,0.1,834.0,750.6,506.99,243.61,32.46,3,3
ORD-20251207,2025-11-07,Latinoamérica,Brasil,Corporativo,Marketplace,Moda y Calzado,Calzado Deportivo,203.62,15,0.15,3054.3,2596.16,1272.53,1323.63,50.98,5,4
ORD-20250057,2025-11-07,Norteamérica,Estados Unidos,Consumidor Final (B2C),Marketplace,Moda y Calzado,Abrigos Técnicos,53.99,2,0.05,107.98,102.58,39.64,62.94,61.36,5,1
ORD-20250875,2025-11-08,Europa,Alemania,Empresas (B2B),Tienda Online,Tecnología,Laptops & Ultrabooks,583.68,9,0.05,5253.12,4990.46,3363.64,1626.82,32.6,5,1
ORD-20250171,2025-11-08,Latinoamérica,Brasil,Consumidor Final (B2C),Tienda Online,Tecnología,Laptops & Ultrabooks,540.44,3,0.05,1621.32,1540.25,1169.35,370.9,24.08,5,2
ORD-20250467,2025-11-08,Norteamérica,México,Consumidor Final (B2C),Distribuidores,Tecnología,Laptops & Ultrabooks,567.06,1,0.0,567.06,567.06,360.71,206.35,36.39,4,4
ORD-20250850,2025-11-08,Europa,Reino Unido,Empresas (B2B),Tienda Online,Hogar y Electro,Domótica,375.34,5,0.1,1876.7,1689.03,1177.15,511.88,30.31,5,2
ORD-20251348,2025-11-08,Europa,Francia,Consumidor Final (B2C),Tienda Online,Mobiliario y Oficina,Escritorios Regulables,299.54,1,0.1,299.54,269.59,202.6,66.99,24.85,4,3
ORD-20250486,2025-11-08,Norteamérica,México,Consumidor Final (B2C),Tienda Online,Moda y Calzado,Calzado Deportivo,100.32,2,0.1,200.64,180.58,106.16,74.42,41.21,4,2
ORD-20251262,2025-11-08,Norteamérica,Canadá,Consumidor Final (B2C),Distribuidores,Tecnología,Smartphones 5G,203.16,3,0.05,609.48,579.01,402.51,176.5,30.48,4,4
ORD-20250083,2025-11-08,Norteamérica,Estados Unidos,Empresas (B2B),Venta Directa,Moda y Calzado,Accesorios y Bolsos,116.95,4,0.1,467.8,421.02,182.79,238.23,56.58,3,3
ORD-20250945,2025-11-09,Norteamérica,Estados Unidos,Consumidor Final (B2C),Tienda Online,Tecnología,Smartphones 5G,246.19,3,0.0,738.57,738.57,500.25,238.32,32.27,4,4
ORD-20250650,2025-11-09,Norteamérica,México,Consumidor Final (B2C),Distribuidores,Tecnología,Accesorios,782.22,3,0.0,2346.66,2346.66,1478.29,868.37,37.0,5,3
ORD-20251450,2025-11-09,Europa,Alemania,Consumidor Final (B2C),Distribuidores,Hogar y Electro,Domótica,79.64,3,0.1,238.92,215.03,152.95,62.08,28.87,3,4
ORD-20250710,2025-11-09,Europa,Francia,Consumidor Final (B2C),Venta Directa,Tecnología,Laptops & Ultrabooks,779.3,2,0.0,1558.6,1558.6,1010.21,548.39,35.18,4,4
ORD-20250370,2025-11-09,Latinoamérica,Perú,Consumidor Final (B2C),Venta Directa,Moda y Calzado,Ropa Casual,40.88,2,0.1,81.76,73.58,33.4,40.18,54.61,5,2
ORD-20250091,2025-11-10,Europa,Reino Unido,Empresas (B2B),Tienda Online,Hogar y Electro,Domótica,448.89,9,0.1,4040.01,3636.01,2584.23,1051.78,28.93,5,2
ORD-20251458,2025-11-10,Norteamérica,México,Consumidor Final (B2C),Distribuidores,Hogar y Electro,Purificadores de Aire,254.27,2,0.0,508.54,508.54,329.03,179.51,35.3,4,4
ORD-20251199,2025-11-10,Norteamérica,México,Consumidor Final (B2C),Tienda Online,Tecnología,Smartphones 5G,1162.05,1,0.05,1162.05,1103.95,789.19,314.76,28.51,3,3
